fullName,scoreName,team,innings,batAvg,batSR,careerBalls,bowlAvg,bowlEcon,bowlSR,batHand,bowlType
0,Mohammad Ebrahim Sanuth,ME Sanuth,OMAN,1,5.00,71.42,1189.0,52.61,4.77,66.0,Left-hand bat,Right-arm offbreak
1,Aamer Ikram,Aamer Ikram,PORT,4,14.50,79.45,2081.0,22.71,2.55,53.3,-,-
2,Aamer Yamin,Aamer Yamin,PAK,1,-,250.00,5011.0,35.82,3.38,63.4,Right-hand bat,Right-arm medium
3,Syed Aamir Kaleem,Aamir Kaleem,OMAN,23,18.78,110.18,450.0,46.33,3.70,75.0,Left-hand bat,Slow left-arm orthodox
4,Aarif Sheikh,Aarif Sheikh,NEPAL,12,20.90,106.09,3015.0,59.75,3.32,107.6,Right-hand bat,Right-arm medium
5,Aaron Jones,Aaron Jones,USA,7,20.25,100.00,6892.000000000001,29.39,2.53,69.6,Right-hand bat,Legbreak googly
6,Zain Abbasi,Z Abbasi,Botsw,1,1.00,20.00,-,-,-,-,-,-
7,Abbas Saad Abdullah Alnadwi,Abbas Saad,Saudi,2,4.00,100.00,528.0,123.66,4.21,176.0,Right-hand bat,Legbreak googly
8,Kyle John Abbott,KJ Abbott,SA,6,11.50,115.00,1394.0,32.45,3.35,58.0,Right-hand bat,Right-arm fast-medium
9,Sean Anthony Abbott,SA Abbott,AUS,1,5.00,62.50,166.0,16.33,3.54,27.6,Right-hand bat,Right-arm fast-medium
10,Mohamed Abdulla,M Abdulla,MWI,5,37.33,112.00,190.0,17.50,3.31,31.6,Right-hand bat,Right-arm medium
11,Yusuf Adam Abdulla,YA Abdulla,SA,-,-,-,99.99999999999999,-,3.24,-,Left-hand bat,Left-arm fast-medium
12,Abdullah Akbarjan,Abdullah Akbarjan,Aut,1,29.00,170.58,2441.0,35.97,3.53,61.0,Left-hand bat,Slow left-arm orthodox
13,Abdullah Shaheen Mahmood,Abdullah Mahmood,DEN,1,2.00,100.00,-,-,-,-,Right-hand bat,Right-arm offbreak
14,Abdullah Sheikh,Abdullah Sheikh,NOR,2,6.50,72.22,-,-,-,-,Right-hand bat,Legbreak
15,Abdul-Shakoor Rahimzei,Abdul-Shakoor Rahimzei,GER,7,17.00,118.60,344.0,47.40,4.13,68.8,Right-hand bat,Right-arm offbreak
16,Abdul Majid Malik,Abdul Majid,BHR,3,15.00,115.38,54.0,49.00,5.44,54.0,Left-hand bat,Slow left-arm orthodox
17,Abdul Rahman Miralikhel,Abdul Rahman,Aut,-,-,-,874.0,45.55,2.81,97.1,Right-hand bat,Right-arm medium
18,Abdul Rashid Karim Dostikhel,Abdul Rashid,Belg,1,9.00,37.50,3158.9999999999995,52.83,3.71,85.3,Right-hand bat,-
19,Abdul Razzaq,Abdul Razzaq,PAK,29,20.68,116.61,-,-,-,-,Right-hand bat,Right-arm fast-medium
20,Sher Muhammad Abdul Shakoor,Abdul Shakoor,UAE,4,17.50,87.50,48.0,-,3.50,-,Right-hand bat,-
21,Abdul Shakoor,Abdul Shakoor,ROM,1,0.00,0.00,1200.0,31.90,3.19,60.0,Right-hand bat,Right-arm medium-fast
22,Abdul Waheed,Abdul Waheed,Saudi,3,32.00,160.00,-,-,-,-,Right-hand bat,Right-arm offbreak
23,Abdul Wahid,Abdul Wahid,Saudi,5,10.75,95.55,261.0,-,5.08,-,Right-hand bat,Right-arm medium
24,Abdur Rauf Khan,Abdur Rauf,PAK,-,-,-,216.0,27.20,3.77,43.2,Right-hand bat,Right-arm fast-medium
25,Abdur Razzak,Abdur Razzak,BDESH,20,4.10,55.40,10972.0,36.59,3.62,60.6,Left-hand bat,Slow left-arm orthodox
26,Abdur Rehman,Abdur Rehman,PAK,5,11.00,75.86,1103.0,118.16,3.85,183.8,Left-hand bat,Slow left-arm orthodox
27,Abiodun Stephen Abioye,AS Abioye,NGA,1,-,-,1015.9999999999999,60.55,3.21,112.8,Right-hand bat,Right-arm medium
28,Isaac Kofi Otuafo Aboagye,IKO Aboagye,Ghana,4,4.00,43.24,-,-,-,-,Right-hand bat,Right-arm medium
29,Michael Aboagye,M Aboagye,Ghana,3,23.50,88.67,-,-,-,-,Right-hand bat,Legbreak
30,Rasheed Ayomide Abolarin,RA Abolarin,NGA,-,-,-,-,-,-,-,Right-hand bat,Right-arm medium-fast
31,Muhammad Abraash Khan,Abraash Khan,CAN,4,16.50,110.00,150.0,105.00,4.20,150.0,Right-hand bat,Right-arm medium
32,Abrar Bilal,Abrar Bilal,Aut,3,27.50,127.90,198.0,149.00,4.51,198.0,Right-hand bat,-
33,Mohammed Abul Hasan,Abul Hasan,BDESH,2,7.00,127.27,185.0,13.16,2.56,30.8,Left-hand bat,Right-arm medium-fast
34,Abu Hider Rony,Abu Hider,BDESH,5,58.00,134.88,54.0,-,4.11,-,Right-hand bat,Left-arm fast-medium
35,Abu Jayed Chowdhury,Abu Jayed,BDESH,2,1.50,42.85,-,-,-,-,Right-hand bat,Right-arm fast-medium
36,Aahan Gopinath Achar,AG Achar,SGP,2,-,100.00,1302.0,41.18,3.03,81.3,Left-hand bat,Slow left-arm orthodox
37,Fred Achelam,F Achelam,UGA,3,12.00,48.00,33085.0,26.80,2.86,56.1,Right-hand bat,-
38,Colin Niel Ackermann,CN Ackermann,NL,11,30.37,123.97,408.0,55.00,4.04,81.6,Right-hand bat,Right-arm offbreak
39,Mark Richard Adair,MR Adair,IRE,15,14.36,124.40,348.0,-,5.29,-,Right-hand bat,Right-arm fast
40,Andre Ryan Adams,AR Adams,NZ,2,13.00,108.33,-,-,-,-,Right-hand bat,Right-arm fast-medium
41,Abdul Wahab Hashmi,Abdul Hashmi,DEN,5,17.50,106.06,1957.0000000000002,28.91,3.01,57.5,Right-hand bat,-
42,Joseph Oluwasesan Adedeji,S Adedeji,NGA,6,22.25,78.07,66.0,24.00,2.18,66.0,Right-hand bat,Right-arm offbreak
43,Adel Kolasangiani,Adel Kolasangiani,Iran,1,-,50.00,1008.0,62.88,3.36,112.0,Right-hand bat,Right-arm medium
44,Vincent Dimeji Adewoye,VD Adewoye,NGA,6,11.75,111.90,338.0,42.00,2.98,84.5,-,-
45,Adil Butt,Adil Butt,Saudi,2,8.00,80.00,252.0,54.00,2.57,126.0,Right-hand bat,Right-arm medium
46,Muhammad Adil Hanif,Adil Hanif,BHR,2,12.00,104.34,298.0,86.00,3.46,149.0,Right-hand bat,Right-arm offbreak
47,Adnan Idrees,Adnan Idrees,KUW,6,43.16,164.96,12.0,-,8.00,-,Right-hand bat,Right-arm offbreak
48,Adnan Ilyas,Adnan Ilyas,OMAN,11,23.45,118.34,19586.0,25.43,2.84,53.6,Right-hand bat,Right-arm medium
49,Adnan Mufti,Adnan Mufti,UAE,1,-,85.71,-,-,-,-,Left-hand bat,Right-arm medium
50,Nikhil Advani,N Advani,GIBR,1,2.00,50.00,2075.0,35.63,2.26,94.3,Right-hand bat,Right-arm offbreak
51,Afif Hossain Dhrubo,Afif Hossain,BDESH,9,12.55,121.50,667.0,52.57,3.31,95.2,Left-hand bat,Right-arm offbreak
52,Afsar Khan Zazai,Afsar Zazai,AFG,1,9.00,42.85,-,-,-,-,Right-hand bat,-
53,Aftab Ahmed Chowdhury,Aftab Ahmed,BDESH,11,22.80,128.08,-,-,-,-,Right-hand bat,Right-arm medium
54,Aftab Ahmed,Aftab Ahmed,2),1,10.00,76.92,326.0,51.66,2.85,108.6,Right-hand bat,Right-arm medium
55,Aftab Alam,Aftab Alam,AFG,5,1.00,22.22,853.9999999999999,76.37,4.29,106.7,Right-hand bat,Right-arm medium-fast
56,Aftab Hussain,Aftab Hussain,HKG,2,-,150.00,204.0,21.25,2.50,51.0,Right-hand bat,Slow left-arm orthodox
57,Ragheb Gul Aga,RG Aga,KENYA,18,13.31,108.67,-,-,-,-,Right-hand bat,Right-arm medium-fast
58,Ashton Charles Agar,AC Agar,AUS,10,14.85,110.63,48.0,-,2.12,-,Left-hand bat,Slow left-arm orthodox
59,Ajit Bhalchandra Agarkar,AB Agarkar,INDIA,2,7.50,136.36,-,-,-,-,Right-hand bat,Right-arm fast
60,George Joseph Agius,GJ Agius,MALTA,2,1.50,20.00,366.0,67.66,3.32,122.0,Right-hand bat,Right-arm fast
61,Pratik Agnihotri,P Agnihotri,NOR,2,12.50,69.44,-,-,-,-,Right-hand bat,-
62,Saif Ali Ahmad,SA Ahmad,DEN,3,23.00,85.18,-,-,-,-,Left-hand bat,Right-arm offbreak
63,Agagyul Ahmadhel,A Ahmadhel,,2,8.00,100.00,660.0,79.00,3.59,132.0,Right-hand bat,Right-arm medium
64,Khaleel Khursheed Ahmed,KK Ahmed,INDIA,1,-,100.00,1755.9999999999998,37.18,3.43,65.0,Right-hand bat,Left-arm medium
65,Rahil Izhar Ahmed,RI Ahmed,NL,2,19.00,76.00,6.0,-,8.00,-,Right-hand bat,-
66,Ahmed Ibrahim Raid,Ahmed Raid,Mald,-,-,-,612.0,114.33,3.36,204.0,Right-hand bat,Slow left-arm orthodox
67,Ahmed Faiz Mohammad Noor,Ahmed Faiz,MAL,17,27.25,116.89,12.0,-,2.50,-,Right-hand bat,Legbreak
68,Ahmed Hassan,Ahmed Hassan,Mald,10,18.90,98.43,-,-,-,-,Right-hand bat,Right-arm offbreak
69,Ahmed Raza,Ahmed Raza,UAE,16,11.00,76.15,1026.0,34.62,3.23,64.1,Right-hand bat,Slow left-arm orthodox
70,Ahmed Shehzad,Ahmed Shehzad,PAK,59,25.80,114.74,426.0,53.75,3.02,106.5,Right-hand bat,Legbreak
71,Ahmed Wardak,Ahmed Wardak,GER,4,13.50,71.05,762.0,49.00,2.70,108.8,Right-hand bat,Left-arm medium
72,Ahsan Ali Abbasi,Ahsan Abbasi,HKG,6,13.33,91.95,2401.0,48.82,3.41,85.7,Right-hand bat,Right-arm offbreak
73,Ahsan Ali,Ahsan Ali,PAK,2,18.00,92.30,6.0,-,4.00,-,Right-hand bat,Legbreak
74,Malik Ahsan Ahmad Jamil,Ahsan Malik,NL,8,9.33,93.33,1713.9999999999998,60.93,3.19,114.2,Right-hand bat,Right-arm medium-fast
75,Kaushal Kumar Ahuja,KK Ahuja,Mex,7,4.00,56.00,-,-,-,-,Right-hand bat,Right-arm medium
76,Ainool Hafizs Yatim,Ainool Hafizs,MAL,3,13.66,105.12,96.0,61.00,3.81,96.0,Right-hand bat,Right-arm medium
77,Ainool Haqqiem Bin Md. Yatim,Ainool Haqqiem,MAL,2,20.00,100.00,-,-,-,-,Right-hand bat,-
78,Dipendra Singh Airee,DS Airee,NEPAL,18,20.62,107.14,406.00000000000006,59.33,2.63,135.3,Right-hand bat,"Right-arm medium, Right-arm offbreak"
79,Pradeep Singh Airee,PS Airee,NEPAL,11,7.90,93.54,108.0,76.00,4.22,108.0,Right-hand bat,Right-arm medium
80,Aizaz Mohammad Khan,Aizaz Khan,HKG,34,14.00,108.33,-,-,-,-,Right-hand bat,Right-arm medium-fast
81,Aizaz Bin Ilyas Cheema,Aizaz Cheema,PAK,1,-,0.00,7320.999999999999,39.10,2.78,84.1,Right-hand bat,Right-arm medium-fast
82,Daniel Ajekun,D Ajekun,NGA,6,9.16,67.90,90.0,-,3.13,-,Right-hand bat,Right-arm offbreak
83,Chima Moses Akachukwu,CM Akachukwu,NGA,5,7.00,93.33,258.0,46.25,4.30,64.5,Right-hand bat,Right-arm medium
84,Frank Akankwasa,F Akankwasa,UGA,3,31.66,179.24,78.0,92.00,7.07,78.0,Right-hand bat,Right-arm offbreak
85,Cengiz Akyüz,C Akyuz,TKY,1,0.00,0.00,1259.0,33.43,2.54,78.6,Right-hand bat,-
86,Graeme William Aldridge,GW Aldridge,NZ,-,-,-,3716.0000000000005,40.19,3.69,65.1,Right-hand bat,Right-arm fast-medium
87,Adam Dale Algar,AD Algar,ESP,-,-,-,2557.0,29.57,3.40,52.1,Right-hand bat,Right-arm offbreak
88,Moeen Munir Ali,MM Ali,ENG,25,15.77,131.48,558.0,28.00,3.01,55.8,Left-hand bat,Right-arm offbreak
89,Ali Mohamed Ivan,Ali Ivan,Mald,1,11.00,28.20,1174.0,26.50,2.16,73.3,Right-hand bat,Right-arm offbreak
90,Syed Ali Abbas,Ali Abbas,Saudi,1,-,100.00,438.0,48.50,3.98,73.0,Right-hand bat,Right-arm medium
91,Syed Ali Naqi,Ali Naqi,PORT,1,-,-,450.0,86.00,3.44,150.0,-,-
92,Ali Mohammadipour Narouei,Ali Mohammadipour,Iran,3,20.50,93.18,1934.0,30.64,3.23,56.8,Right-hand bat,-
93,Duncan Iain Allan,DI Allan,KENYA,10,8.60,63.70,8067.0,37.17,3.23,68.9,Right-hand bat,Right-arm medium-fast
94,Fabian Anthony Allen,FA Allen,WI,10,9.57,113.55,552.0,56.66,3.69,92.0,Right-hand bat,Slow left-arm orthodox
95,Jaimin Allen,J Allen,,2,1.00,25.00,114.0,-,3.73,-,Right-hand bat,Right-arm medium-fast
96,Timroy Patrick Allen,TP Allen,USA,3,13.50,158.82,324.0,97.00,3.59,162.0,Right-hand bat,"Right-arm fast-medium, Right-arm offbreak"
97,Alok Kapali,Alok Kapali,BDESH,7,11.40,67.05,3173.0,37.05,3.71,59.8,Right-hand bat,Legbreak
98,Hasan Sabit Alta,HS Alta,TKY,4,0.33,10.00,18.0,-,4.33,-,Right-hand bat,Right-arm medium-fast
99,Al-Amin Hossain,Al-Amin Hossain,BDESH,6,3.50,58.33,6849.0,47.64,3.17,90.1,Right-hand bat,Right-arm medium-fast
100,Timothy Raymond Ambrose,TR Ambrose,ENG,-,-,-,2401.0,25.92,3.23,48.0,Right-hand bat,-
101,Ahmed Ameel Mauroof,Ameel Mauroof,Mald,10,9.80,72.05,3372.0,22.09,3.41,38.7,Left-hand bat,Left-arm fast-medium
102,Ameer Saiyed,Ameer Saiyed,Botsw,3,12.66,80.85,434.0,290.00,4.00,434.0,Left-hand bat,Slow left-arm orthodox
103,Charles Jordan Alewa Amini,CJA Amini,PNG,18,26.92,116.35,78.0,20.50,6.30,19.5,Left-hand bat,Legbreak
104,Aminul Islam Biplob,Aminul Islam,BDESH,4,22.00,122.22,1017.0000000000001,33.70,3.38,59.8,Right-hand bat,Legbreak googly
105,Syed Amir Ali,Amir Ali,OMAN,8,19.40,149.23,8.0,6.00,4.50,8.0,Right-hand bat,Right-arm offbreak
106,Amir Hayat,Amir Hayat,UAE,2,1.50,50.00,14874.0,27.65,2.97,55.7,Right-hand bat,Right-arm medium
107,Amir Hamza Hotak,Amir Hamza,AFG,9,10.00,105.26,4984.0,38.83,3.36,69.2,Right-hand bat,Slow left-arm orthodox
108,Amir Khan Mangal,Amir Mangal,GER,10,20.28,156.04,1110.0,42.08,2.72,92.5,Right-hand bat,Right-arm offbreak
109,Amjad Ali,Amjad Ali,UAE,5,10.50,80.76,252.0,124.00,2.95,252.0,Left-hand bat,Legbreak
110,Amjad Javed,Amjad Javed,UAE,18,18.06,111.98,1021.0,60.00,3.17,113.4,Right-hand bat,Right-arm medium
111,Amjad Gul Khan,Amjad Khan,UAE,3,9.33,93.33,408.0,242.00,3.55,408.0,Right-hand bat,Legbreak
112,Amjad Mahboob,Amjad Mahboob,SGP,6,0.75,21.42,1940.0,57.94,3.22,107.7,Right-hand bat,Right-arm medium
113,Amjad Sher,Amjad Sher,Fin,5,11.20,155.55,6466.000000000001,39.83,3.17,75.1,Right-hand bat,Right-arm medium
114,Hashim Mahomed Amla,HM Amla,SA/World,44,33.60,132.05,6.0,-,2.00,-,Right-hand bat,"Right-arm medium, Right-arm offbreak"
115,Ammad Uddin,Ammad Uddin,BHR,8,29.33,187.23,188.0,67.50,4.30,94.0,Right-hand bat,Right-arm offbreak
116,Mohammad Anamul Haque Bijoy,Anamul Haque,BDESH,13,32.27,117.94,450.0,85.00,2.26,225.0,Right-hand bat,-
117,Anam Ahmed Mollik,Anam Mollik,ITA,1,9.00,90.00,4674.0,32.73,3.02,64.9,Right-hand bat,Legbreak
118,Anasim Khan,Anasim Khan,BHR,6,10.20,98.07,28367.0,28.30,2.95,57.5,Right-hand bat,Right-arm fast-medium
119,Anas Khan,Anas Khan,HKG,1,-,75.00,-,-,-,-,Left-hand bat,Slow left-arm orthodox
120,Corey James Anderson,CJ Anderson,NZ,24,24.25,138.17,-,-,-,-,Left-hand bat,Left-arm medium-fast
121,John Anderson,J Anderson,IRE,2,6.00,66.66,-,-,-,-,Right-hand bat,Right-arm offbreak
122,James Michael Anderson,JM Anderson,ENG,4,1.00,50.00,66.0,52.00,4.72,66.0,Left-hand bat,Right-arm fast-medium
123,Daniel Kwabena Anefie,DK Anefie,Ghana,4,17.00,89.47,3080.9999999999995,20.33,2.69,45.3,Right-hand bat,Right-arm medium
124,Alexandros Anemogiannis,A Anemogiannis,,-,-,-,-,-,-,-,Right-hand bat,Right-arm medium
125,Bruno Angeltti,B Angeltti,Arg,1,1.00,25.00,-,-,-,-,Right-hand bat,Right-arm offbreak
126,Anique Uddin,Anique Uddin,DEN,6,10.66,81.01,-,-,-,-,Right-hand bat,Right-arm offbreak
127,Revanakumar Ankad,R Ankad,Mex,7,17.00,94.44,569.0,31.00,3.92,47.4,Right-hand bat,Right-arm medium
128,David Ni Ashong Ankrah,DNA Ankrah,Ghana,3,7.33,51.16,1368.0,36.83,3.87,57.0,Right-hand bat,Right-arm medium
129,Md Anowarul Islam,Anowarul Islam,THAI,4,3.75,75.00,-,-,-,-,-,-
130,Munis S Ansari,M Ansari,OMAN,4,-,50.00,4929.0,31.74,3.51,54.1,Right-hand bat,Right-arm fast-medium
131,Ansar Iqbal,Ansar Iqbal,NOR,4,16.00,88.88,2317.0,30.10,3.66,49.2,Right-hand bat,Right-arm medium
132,Anshuman Rath,Anshuman Rath,HKG,19,18.88,93.31,143.0,39.33,4.95,47.6,Left-hand bat,Slow left-arm orthodox
133,Ansh Tandon,Ansh Tandon,UAE,1,14.00,155.55,-,-,-,-,Left-hand bat,Right-arm medium-fast
134,Anwar Ali,Anwar Ali,PAK,11,15.57,141.55,61.0,-,2.95,-,Right-hand bat,Right-arm medium-fast
135,Mohammad Anwar Arudin,Anwar Arudin,MAL,17,9.88,94.91,-,-,-,-,Left-hand bat,Right-arm medium-fast
136,Muhammad Anwar A Rahman,Anwar Rahman,MAL,4,1.66,62.50,-,-,-,-,Right-hand bat,Slow left-arm orthodox
137,Aphsal Ashraf,Aphsal Ashraf,KUW,3,26.50,165.62,-,-,-,-,Left-hand bat,-
138,Malmeege Amila Aponso,MA Aponso,SL,1,0.00,0.00,54.0,-,3.44,-,Right-hand bat,Slow left-arm orthodox
139,Apon Mustafizur,Apon Mustafizur,Serb,2,5.50,39.28,192.0,43.00,4.03,64.0,Right-hand bat,Right-arm medium
140,Sujesh Appu,S Appu,MALTA,4,2.66,57.14,-,-,-,-,Right-hand bat,Right-arm medium
141,Aqib Javed Iqbal,Aqib Iqbal,Aut,1,6.00,100.00,1391.0,41.00,4.24,57.9,Right-hand bat,Right-arm medium
142,Aqib Ilyas Sulehri,Aqib Ilyas,OMAN,22,22.66,114.60,1843.0000000000002,49.80,3.40,87.7,Right-hand bat,"Right-arm offbreak, Legbreak googly"
143,Samuel Aquilina,SE Aquilina,MALTA,4,5.50,73.33,354.0,62.00,3.15,118.0,Right-hand bat,-
144,Shameera Arachchige,S Arachchige,ITA,1,0.00,0.00,-,-,-,-,Right-hand bat,Right-arm offbreak
145,Arafat Sunny,Arafat Sunny,BDESH,6,11.33,113.33,-,-,-,-,Left-hand bat,Slow left-arm orthodox
146,Sreenath Aravind,S Aravind,INDIA,-,-,-,18.0,-,4.00,-,Left-hand bat,Left-arm medium-fast
147,Vriitya Aravind,V Aravind,UAE,2,9.50,70.37,4838.0,40.86,3.44,71.1,Right-hand bat,-
148,Jofra Chioke Archer,JC Archer,ENG,-,-,-,1695.0,27.62,2.34,70.6,Right-hand bat,Right-arm fast
149,Areeb Abdul Quadir,Areeb Quadir,Fin,1,2.00,16.66,-,-,-,-,-,-
150,Ariful Haque,Ariful Haque,BDESH,8,14.75,96.72,492.0,38.57,3.29,70.2,Right-hand bat,Right-arm medium-fast
151,Zephania Arinaitwe,Z Arinaitwe,UGA,6,8.33,83.33,246.0,162.00,3.95,246.0,Right-hand bat,Right-arm offbreak
152,Aritra Dutta,Aritra Dutta,SGP,8,14.50,101.75,1806.0,46.00,3.20,86.0,Right-hand bat,-
153,Russel Premakumaran Arnold,RP Arnold,SL,1,7.00,100.00,342.0,62.66,3.29,114.0,Left-hand bat,Right-arm offbreak
154,Bikram Arora,B Arora,MALTA,4,16.00,100.00,248.00000000000003,37.66,2.73,82.6,Right-hand bat,Legbreak
155,Puneet Arora,P Arora,Mex,2,9.00,225.00,-,-,-,-,Right-hand bat,Right-arm medium
156,Pedro Arrighi,P Arrighi,Arg,4,4.00,34.78,5146.0,23.86,2.61,54.7,Right-hand bat,Right-arm medium
157,Arsalan Arif,Arsalan Arif,Aut,1,-,236.36,2435.0,38.19,2.91,78.5,Right-hand bat,-
158,Arsalan Qadir,Arsalan Qadir,CAN,-,-,-,174.0,15.00,2.06,43.5,Right-hand bat,Right-arm fast-medium
159,Arshad Hayat,Arshad Hayat,CZK-R,2,1.00,28.57,1905.0,59.88,3.20,112.0,Right-hand bat,Right-arm medium
160,Arshad Mazarzei,Arshad Mazarzei,Iran,3,2.33,17.50,6286.000000000001,33.76,3.15,64.1,Right-hand bat,-
161,Arslan Ahmed,Arslan Ahmed,PORT,3,4.00,37.50,6091.0,31.46,2.85,66.2,Right-hand bat,-
162,Arslan Ahmed,Arslan Ahmed,,1,5.00,38.46,-,-,-,-,Right-hand bat,Right-arm medium
163,Aryaman Sunil Uchil,U Aryaman Sunil,SGP,4,9.25,154.16,18.0,7.00,2.33,18.0,Right-hand bat,Right-arm medium-fast
164,Asad Ali,Asad Ali,PAK,-,-,-,12.0,-,8.00,-,Right-hand bat,Right-arm medium-fast
165,Asad Mohammad,Asad Mohammad,GER,4,4.00,100.00,648.0,37.83,2.10,108.0,Right-hand bat,Right-arm medium
166,Asad Shafiq,Asad Shafiq,PAK,10,19.20,103.78,1056.0,41.76,3.08,81.2,Right-hand bat,Right-arm offbreak
167,Mohammad Asghar Afghan,Asghar Afghan,AFG,63,21.15,107.58,807.0000000000001,29.15,2.81,62.0,Right-hand bat,Right-arm medium-fast
168,Mohammad Ashfaq Ahmed,Ashfaq Ahmed,UAE,12,19.83,128.64,276.0,98.00,4.26,138.0,Right-hand bat,Right-arm offbreak
169,Ashiqullah Said,Ashiqullah Said,Belg,1,0.00,0.00,-,-,-,-,Right-hand bat,Right-arm fast
170,Arun Ashokan,A Ashokan,CZK-R,2,20.50,141.37,-,-,-,-,Right-hand bat,Right-arm medium
171,Ravichandran Ashwin,R Ashwin,INDIA,11,30.75,106.95,3668.9999999999995,46.52,3.80,73.3,Right-hand bat,Right-arm offbreak
172,Asif Ali,Asif Ali,PAK,24,18.38,128.29,288.0,193.00,4.02,288.0,Right-hand bat,Right-arm medium-fast
173,Mohammed Nowfer Mohomad Aslam,MNM Aslam,KUW,7,26.80,100.75,-,-,-,-,Right-hand bat,Left-arm slow
174,Aslam Mohammad,Aslam Mohammad,,1,7.00,87.50,-,-,-,-,-,-
175,Alexandros Aspiotis,A Aspiotis,,1,-,75.00,4214.0,45.68,3.70,73.9,Right-hand bat,Right-arm medium
176,Asrar Ahmed,Asrar Ahmed,,1,25.00,92.59,684.0,26.80,2.35,68.4,Right-hand bat,Legbreak
177,Nathan John Astle,NJ Astle,NZ,4,24.66,110.44,2854.0,31.91,2.41,79.2,Right-hand bat,Right-arm medium
178,Todd Duncan Astle,TD Astle,NZ,2,2.00,40.00,84.0,54.00,3.85,84.0,Right-hand bat,Legbreak
179,Simon Kwalahu Atai,SK Atai,PNG,1,0.00,0.00,-,-,-,-,Left-hand bat,-
180,Marvan Samson Atapattu,MS Atapattu,SL,1,5.00,62.50,-,-,-,-,Right-hand bat,Legbreak
181,Simon Ateak,S Ateak,Ghana,3,15.00,93.75,1976.0,40.14,3.29,73.1,Right-hand bat,Right-arm offbreak
182,Vincent Ateak,V Ateak,Ghana,1,-,50.00,6761.0,21.82,2.76,47.2,Left-hand bat,Slow left-arm orthodox
183,Atif Ali Khan,Atif Ali Khan,UAE,-,-,-,2326.0,31.82,3.28,58.1,Right-hand bat,Left-arm medium
184,Atif Kamal,Atif Kamal,LUX,3,3.66,61.11,396.0,100.00,3.03,198.0,Right-hand bat,Right-arm medium-fast
185,Atif Ali Mehmood,Atif Mehmood,ESP,2,-,62.50,438.0,49.80,3.41,87.6,Right-hand bat,Left-arm medium-fast
186,James John Atkinson,JJ Atkinson,HKG,16,22.07,111.55,1385.0,24.81,3.54,41.9,Right-hand bat,-
187,Maninderjit Singh Aulakh,MS Aulakh,CAN,1,0.00,0.00,17151.0,34.49,3.10,66.7,Right-hand bat,Right-arm fast-medium
188,Richard Avery,R Avery,,3,3.33,41.66,48.0,-,3.50,-,Right-hand bat,Right-arm medium
189,Avi Dixit,Avi Dixit,SGP,1,-,150.00,-,-,-,-,Right-hand bat,Right-arm medium-fast
190,Awais Ahmed,Awais Ahmed,ESP,6,41.25,117.02,252.0,23.40,2.78,50.4,Right-hand bat,-
191,Mohammed Awais Malik,Awais Malik,QAT,7,2.42,62.96,526.0,42.57,3.39,75.1,Right-hand bat,Right-arm medium
192,Awais Zia,Awais Zia,PAK,5,14.00,87.50,1116.0,61.54,3.63,101.4,Left-hand bat,Right-arm offbreak
193,Parvinder Awana,P Awana,INDIA,-,-,-,102.0,-,4.35,-,Right-hand bat,Right-arm medium
194,Abiola Joshua Ayannaike,AJ Ayannaike,NGA,3,14.66,102.32,216.0,30.66,2.55,72.0,Right-hand bat,-
195,Aziz Mohammad Babakrkhail,Aziz Mohammad,Belg,3,9.50,76.00,3683.0,31.63,2.42,78.3,Right-hand bat,Right-arm fast-medium
196,Yoosuf Azyan Farhath,Azyan Farhath,Mald,2,24.00,109.09,-,-,-,-,Right-hand bat,Right-arm medium
197,Frank Baaleri,F Baaleri,Ghana,4,10.50,70.00,448.00000000000006,30.77,3.70,49.7,Right-hand bat,-
198,Stephan Julian Baard,SJ Baard,NAM,13,35.18,126.88,390.0,109.50,3.36,195.0,Right-hand bat,Right-arm medium-fast
199,Babar Ali,Babar Ali,BHR,1,-,100.00,1503.0,29.70,2.84,62.6,Left-hand bat,Slow left-arm orthodox
fullName,scoreName,team,innings,batAvg,batSR,careerBalls,bowlAvg,bowlEcon,bowlSR,batHand,bowlType
